Chip Run Filename,C:\Documents and Settings\Administrator\Desktop\Melov Real Time PCR Runs\DonnaRealTime Project_Plate1\ChipRun.bml
Application Version,2.0.2
Application Build,20080502.1530
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Detectors)


FAM-MGB Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,Ftmt,HK1,Epo,Hamp,Slc40a1,Ppara,Vegfa,Ep300,Ftl1,Ppargc1a,Epas1,Ogdh,GPX1,Ucp2,Ngb,Egln3,Bnip3I,Hif1a,Tfrc,SDHb,Mt3,Cat,Egln2,Egln1,Nfe212,Nos2,Hif3a,Bnip3,Cp,Dppa5a,Sod2,Mt1,PDK1,Car2,Trp53,PDHx,Hmox1,Bach1,Fth1,Fxn,Aco2,H2afz (house keeping),Slc11a2,Th,Trfr2,Mt2,LCT,RPL22 (house keeping)
01,6hrs A3,21.93,999.00,999.00,25.83,22.82,24.87,36.68,18.75,21.60,16.22,17.27,17.23,999.00,21.39,22.39,21.01,17.90,18.38,999.00,16.89,13.84,5.95,20.24,17.71,26.88,25.65,24.43,17.27,999.00,25.08,17.17,20.33,23.77,16.99,22.21,18.89,24.20,29.19,10.85,19.01,17.96,19.34,22.19,22.56,28.12,14.75,26.05,14.38
02,6hrs A3,21.73,999.00,999.00,27.69,23.58,25.17,36.80,19.17,22.43,16.04,17.00,17.01,999.00,21.86,22.49,21.00,17.98,18.38,999.00,17.04,14.04,6.99,20.34,17.70,27.01,25.88,24.54,17.45,999.00,24.02,17.21,20.55,23.83,17.01,22.15,19.08,24.26,29.71,10.85,19.41,18.26,19.43,21.81,23.03,28.74,14.87,999.00,15.06
03,6hrs A3,21.97,999.00,999.00,999.00,23.26,25.45,36.83,18.77,20.26,16.11,17.39,17.27,999.00,21.62,22.28,20.88,18.03,18.39,999.00,16.88,14.11,999.00,19.91,17.73,26.46,26.06,24.04,17.50,999.00,25.11,17.33,20.46,23.82,17.06,22.07,18.84,24.78,28.83,10.98,19.27,18.29,18.89,22.33,23.30,27.20,14.80,999.00,14.91
04,24hrs A4,22.80,29.25,999.00,999.00,20.97,23.80,34.27,18.53,18.34,15.20,15.23,15.79,999.00,20.62,22.66,18.95,16.12,16.95,999.00,14.92,12.38,9.13,18.93,16.80,24.60,23.61,23.56,15.90,999.00,24.18,15.70,17.32,22.64,15.05,20.39,17.74,22.62,27.83,9.62,18.48,16.57,19.16,20.51,19.44,29.37,12.67,999.00,14.23
05,24hrs A4,22.37,28.48,999.00,999.00,21.23,24.21,33.79,17.97,17.77,15.39,15.12,15.81,999.00,20.38,22.67,18.61,16.17,17.07,999.00,14.86,12.64,999.00,18.91,16.80,24.31,23.66,23.49,15.89,999.00,25.17,15.72,17.40,22.76,14.96,20.30,17.69,22.49,27.97,9.70,18.59,16.80,18.41,20.45,19.50,25.15,12.69,999.00,14.25
06,24hrs A4,22.22,27.87,999.00,999.00,21.26,23.74,34.14,18.37,17.89,15.43,15.36,15.98,999.00,20.42,22.55,18.72,16.14,17.11,999.00,14.85,12.71,8.76,19.02,16.86,24.59,24.06,24.06,15.93,999.00,23.86,15.79,17.45,22.74,15.00,20.38,17.63,22.29,28.57,9.38,18.46,16.59,18.53,20.58,19.55,25.54,12.71,999.00,14.34
07,8 Days D4,22.65,999.00,999.00,999.00,21.51,24.26,34.85,17.80,17.81,15.53,15.69,16.22,999.00,20.50,22.74,19.41,16.40,17.24,999.00,15.23,12.72,6.90,19.17,16.67,24.56,27.87,23.85,16.15,999.00,24.68,15.89,17.95,22.34,15.12,20.77,17.82,22.98,28.72,9.79,18.85,17.08,18.19,21.16,20.60,24.88,13.37,25.53,14.49
08,8 Days D4,22.87,999.00,999.00,999.00,21.76,24.30,35.32,17.82,18.00,15.68,15.64,16.28,999.00,20.37,22.52,19.36,16.42,17.21,999.00,15.24,12.64,6.71,19.18,16.68,24.63,24.69,23.73,16.03,999.00,23.33,15.84,17.96,22.73,15.00,20.75,17.91,22.92,28.33,9.84,18.71,17.04,18.01,20.62,20.81,25.30,13.41,24.07,14.48
09,8 Days D4,22.87,999.00,999.00,999.00,22.22,24.50,36.78,17.76,18.24,15.62,15.79,16.23,999.00,20.62,22.75,19.34,16.57,17.42,999.00,15.17,12.89,6.71,19.56,16.72,25.14,26.89,23.93,16.16,999.00,24.77,16.05,18.05,22.98,15.18,20.83,17.90,23.04,28.41,9.89,18.86,17.13,18.35,20.78,21.26,25.41,13.48,26.63,14.66
