Chip Run Filename,C:\Documents and Settings\Administrator\Desktop\Melov Real Time PCR Runs\DonnaRealTime Project_Plate1\ChipRun.bml
Application Version,2.0.2
Application Build,20080502.1530
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Detectors)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold
S48-A01,3 Days D2,Unknown,1,Ftmt,Test,25.489612064426,0.99,Pass,0.0170975760029845
S48-A02,3 Days D2,Unknown,1,HK1,Test,29.7310552950724,0.9,Pass,0.00522591086698019
S48-A03,3 Days D2,Unknown,1,Epo,Test,999,0,Fail,0.1
S48-A04,3 Days D2,Unknown,1,Hamp,Test,999,0,Fail,0.0307597811147576
S48-A05,3 Days D2,Unknown,1,Slc40a1,Test,21.6626779285864,0.95,Pass,0.00665758110254866
S48-A06,3 Days D2,Unknown,1,Ppara,Test,24.410298728358,0.98,Pass,0.0143613838140424
S48-A07,3 Days D2,Unknown,1,Vegfa,Test,35.2070349039522,0.66,Pass,0.0130632654833801
S48-A08,3 Days D2,Unknown,1,Ep300,Test,18.0391421233273,0.74,Pass,0.00592725233700934
S48-A09,3 Days D2,Unknown,1,Ftl1,Test,17.6874850655804,0.68,Pass,0.00605555306988149
S48-A10,3 Days D2,Unknown,1,Ppargc1a,Test,15.6603074441918,0.94,Pass,0.0103153062665152
S48-A11,3 Days D2,Unknown,1,Epas1,Test,15.5630716561648,0.97,Pass,0.00845488203106051
S48-A12,3 Days D2,Unknown,1,Ogdh,Test,16.1796142235972,0.96,Pass,0.0154003440700253
S48-A13,3 Days D2,Unknown,1,GPX1,Test,999,0,Fail,0.1
S48-A14,3 Days D2,Unknown,1,Ucp2,Test,19.7683076170354,0.85,Pass,0.00634618516443952
S48-A15,3 Days D2,Unknown,1,Ngb,Test,21.1879811762341,0.92,Pass,0.0132358407753192
S48-A16,3 Days D2,Unknown,1,Egln3,Test,18.8017937281986,0.94,Pass,0.0149010143493106
S48-A17,3 Days D2,Unknown,1,Bnip3I,Test,16.6050538754138,0.85,Pass,0.0214933930805613
S48-A18,3 Days D2,Unknown,1,Hif1a,Test,17.2456683287206,0.99,Pass,0.0274163579922502
S48-A19,3 Days D2,Unknown,1,Tfrc,Test,999,0,Fail,0.1
S48-A20,3 Days D2,Unknown,1,SDHb,Test,14.8411917397155,0.97,Pass,0.0188587803835945
S48-A21,3 Days D2,Unknown,1,Mt3,Test,12.8293784767847,0.77,Pass,0.0228345411869442
S48-A22,3 Days D2,Unknown,1,Cat,Test,8.85579633520468,0.08,Fail,0.00201192985235196
S48-A23,3 Days D2,Unknown,1,Egln2,Test,18.5449231052142,0.91,Pass,0.00689486129308747
S48-A24,3 Days D2,Unknown,1,Egln1,Test,16.8908174696502,0.9,Pass,0.0097987151773852
S48-A25,3 Days D2,Unknown,1,Nfe212,Test,24.8411352854405,0.95,Pass,0.0128811432565052
S48-A26,3 Days D2,Unknown,1,Nos2,Test,25.6547441210112,0.94,Pass,0.0150035719669409
S48-A27,3 Days D2,Unknown,1,Hif3a,Test,23.341220059075,0.8,Pass,0.0155135707898053
S48-A28,3 Days D2,Unknown,1,Bnip3,Test,15.7653825381374,0.97,Pass,0.0239177378873408
S48-A29,3 Days D2,Unknown,1,Cp,Test,999,0,Fail,0.1
S48-A30,3 Days D2,Unknown,1,Dppa5a,Test,23.653366828362,0.88,Pass,0.0109474022309234
S48-A31,3 Days D2,Unknown,1,Sod2,Test,16.2976604772249,0.96,Pass,0.0193117342570188
S48-A32,3 Days D2,Unknown,1,Mt1,Test,17.7536459281947,0.96,Pass,0.0150165747366286
S48-A33,3 Days D2,Unknown,1,PDK1,Test,23.2849363600499,0.98,Pass,0.0831058699701507
S48-A34,3 Days D2,Unknown,1,Car2,Test,15.3788575543854,0.89,Pass,0.0121965143027594
S48-A35,3 Days D2,Unknown,1,Trp53,Test,20.7962814424862,0.95,Pass,0.0194839829779027
S48-A36,3 Days D2,Unknown,1,PDHx,Test,17.9714090121977,0.94,Pass,0.0126570262457584
S48-A37,3 Days D2,Unknown,1,Hmox1,Test,22.3396492914334,0.95,Pass,0.0087765704303593
S48-A38,3 Days D2,Unknown,1,Bach1,Test,29.7311671372228,0.8,Pass,0.00898588417366158
S48-A39,3 Days D2,Unknown,1,Fth1,Test,9.91665975535918,0.98,Pass,0.0146163250752354
S48-A40,3 Days D2,Unknown,1,Fxn,Test,18.7615044035229,0.95,Pass,0.0208283161042978
S48-A41,3 Days D2,Unknown,1,Aco2,Test,17.2384913913216,0.98,Pass,0.0206074612287017
S48-A42,3 Days D2,Unknown,1,H2afz (house keeping),Test,19.147598185024,0.94,Pass,0.00632670523166442
S48-A43,3 Days D2,Unknown,1,Slc11a2,Test,21.4060190295468,0.95,Pass,0.00590284917332172
S48-A44,3 Days D2,Unknown,1,Th,Test,21.1553846665063,0.92,Pass,0.00763526729220294
S48-A45,3 Days D2,Unknown,1,Trfr2,Test,27.407082429503,0.97,Pass,0.0155279526230004
S48-A46,3 Days D2,Unknown,1,Mt2,Test,12.8627664921786,0.97,Pass,0.0198420617612677
S48-A47,3 Days D2,Unknown,1,LCT,Test,27.9815177786331,0.95,Pass,0.0162807939869354
S48-A48,3 Days D2,Unknown,1,RPL22 (house keeping),Test,14.5961573619115,0.92,Pass,0.00902334899870637
S03-A01,6hrs A3,Unknown,1,Ftmt,Test,21.9661957622525,0.99,Pass,0.0170975760029845
S03-A02,6hrs A3,Unknown,1,HK1,Test,999,0,Fail,0.00522591086698019
S03-A03,6hrs A3,Unknown,1,Epo,Test,999,0,Fail,0.1
S03-A04,6hrs A3,Unknown,1,Hamp,Test,999,0,Fail,0.0307597811147576
S03-A05,6hrs A3,Unknown,1,Slc40a1,Test,23.2592133844898,0.92,Pass,0.00665758110254866
S03-A06,6hrs A3,Unknown,1,Ppara,Test,25.4461574770098,0.97,Pass,0.0143613838140424
S03-A07,6hrs A3,Unknown,1,Vegfa,Test,36.8333993627406,0.75,Pass,0.0130632654833801
S03-A08,6hrs A3,Unknown,1,Ep300,Test,18.7650772324294,0.86,Pass,0.00592725233700934
S03-A09,6hrs A3,Unknown,1,Ftl1,Test,20.26171288316,0.58,Fail,0.00605555306988149
S03-A10,6hrs A3,Unknown,1,Ppargc1a,Test,16.108418692717,0.95,Pass,0.0103153062665152
S03-A11,6hrs A3,Unknown,1,Epas1,Test,17.391346881512,0.96,Pass,0.00845488203106051
S03-A12,6hrs A3,Unknown,1,Ogdh,Test,17.2741367669545,0.93,Pass,0.0154003440700253
S03-A13,6hrs A3,Unknown,1,GPX1,Test,999,0,Fail,0.1
S03-A14,6hrs A3,Unknown,1,Ucp2,Test,21.61738896476,0.93,Pass,0.00634618516443952
S03-A15,6hrs A3,Unknown,1,Ngb,Test,22.2836867763117,0.94,Pass,0.0132358407753192
S03-A16,6hrs A3,Unknown,1,Egln3,Test,20.8753813310061,0.95,Pass,0.0149010143493106
S03-A17,6hrs A3,Unknown,1,Bnip3I,Test,18.0316600865852,0.91,Pass,0.0214933930805613
S03-A18,6hrs A3,Unknown,1,Hif1a,Test,18.3873306504291,0.99,Pass,0.0274163579922502
S03-A19,6hrs A3,Unknown,1,Tfrc,Test,999,0,Fail,0.1
S03-A20,6hrs A3,Unknown,1,SDHb,Test,16.8758028468665,0.97,Pass,0.0188587803835945
S03-A21,6hrs A3,Unknown,1,Mt3,Test,14.1068129507794,0.79,Pass,0.0228345411869442
S03-A22,6hrs A3,Unknown,1,Cat,Test,999,0,Fail,0.00201192985235196
S03-A23,6hrs A3,Unknown,1,Egln2,Test,19.9051169489167,0.93,Pass,0.00689486129308747
S03-A24,6hrs A3,Unknown,1,Egln1,Test,17.7339016983294,0.92,Pass,0.0097987151773852
S03-A25,6hrs A3,Unknown,1,Nfe212,Test,26.4572669692753,0.92,Pass,0.0128811432565052
S03-A26,6hrs A3,Unknown,1,Nos2,Test,26.060997800216,0.97,Pass,0.0150035719669409
S03-A27,6hrs A3,Unknown,1,Hif3a,Test,24.0441961711783,0.94,Pass,0.0155135707898053
S03-A28,6hrs A3,Unknown,1,Bnip3,Test,17.5005735412271,0.99,Pass,0.0239177378873408
S03-A29,6hrs A3,Unknown,1,Cp,Test,999,0,Fail,0.1
S03-A30,6hrs A3,Unknown,1,Dppa5a,Test,25.1055681341195,0.9,Pass,0.0109474022309234
S03-A31,6hrs A3,Unknown,1,Sod2,Test,17.3334461467174,0.96,Pass,0.0193117342570188
S03-A32,6hrs A3,Unknown,1,Mt1,Test,20.4649083377847,0.97,Pass,0.0150165747366286
S03-A33,6hrs A3,Unknown,1,PDK1,Test,23.8159570002627,0.98,Pass,0.0831058699701507
S03-A34,6hrs A3,Unknown,1,Car2,Test,17.0641131660652,0.92,Pass,0.0121965143027594
S03-A35,6hrs A3,Unknown,1,Trp53,Test,22.0676460904442,0.93,Pass,0.0194839829779027
S03-A36,6hrs A3,Unknown,1,PDHx,Test,18.8351711256862,0.96,Pass,0.0126570262457584
S03-A37,6hrs A3,Unknown,1,Hmox1,Test,24.7773884893372,0.95,Pass,0.0087765704303593
S03-A38,6hrs A3,Unknown,1,Bach1,Test,28.8270211409563,0.76,Pass,0.00898588417366158
S03-A39,6hrs A3,Unknown,1,Fth1,Test,10.9796883002362,0.97,Pass,0.0146163250752354
S03-A40,6hrs A3,Unknown,1,Fxn,Test,19.2728429404708,0.93,Pass,0.0208283161042978
S03-A41,6hrs A3,Unknown,1,Aco2,Test,18.2854187066883,0.98,Pass,0.0206074612287017
S03-A42,6hrs A3,Unknown,1,H2afz (house keeping),Test,18.8947070980195,0.93,Pass,0.00632670523166442
S03-A43,6hrs A3,Unknown,1,Slc11a2,Test,22.3332651839617,0.95,Pass,0.00590284917332172
S03-A44,6hrs A3,Unknown,1,Th,Test,23.3027818761159,0.9,Pass,0.00763526729220294
S03-A45,6hrs A3,Unknown,1,Trfr2,Test,27.2012722152939,0.97,Pass,0.0155279526230004
S03-A46,6hrs A3,Unknown,1,Mt2,Test,14.7970064999268,0.98,Pass,0.0198420617612677
S03-A47,6hrs A3,Unknown,1,LCT,Test,999,0,Fail,0.0162807939869354
S03-A48,6hrs A3,Unknown,1,RPL22 (house keeping),Test,14.9138540735069,0.92,Pass,0.00902334899870637
S47-A01,3 Days D2,Unknown,1,Ftmt,Test,23.7705333218595,0.99,Pass,0.0170975760029845
S47-A02,3 Days D2,Unknown,1,HK1,Test,29.5686183674234,0.88,Pass,0.00522591086698019
S47-A03,3 Days D2,Unknown,1,Epo,Test,999,0,Fail,0.1
S47-A04,3 Days D2,Unknown,1,Hamp,Test,28.2200948959634,0.96,Pass,0.0307597811147576
S47-A05,3 Days D2,Unknown,1,Slc40a1,Test,20.7948580244985,0.76,Pass,0.00665758110254866
S47-A06,3 Days D2,Unknown,1,Ppara,Test,24.6661934112564,0.96,Pass,0.0143613838140424
S47-A07,3 Days D2,Unknown,1,Vegfa,Test,34.8974691303076,0.53,Fail,0.0130632654833801
S47-A08,3 Days D2,Unknown,1,Ep300,Test,17.7705238467536,0.92,Pass,0.00592725233700934
S47-A09,3 Days D2,Unknown,1,Ftl1,Test,16.9899398183289,0.63,Fail,0.00605555306988149
S47-A10,3 Days D2,Unknown,1,Ppargc1a,Test,15.9406384560376,0.95,Pass,0.0103153062665152
S47-A11,3 Days D2,Unknown,1,Epas1,Test,15.4388863466763,0.97,Pass,0.00845488203106051
S47-A12,3 Days D2,Unknown,1,Ogdh,Test,16.1276487127633,0.92,Pass,0.0154003440700253
S47-A13,3 Days D2,Unknown,1,GPX1,Test,999,0,Fail,0.1
S47-A14,3 Days D2,Unknown,1,Ucp2,Test,19.9877157932131,0.83,Pass,0.00634618516443952
S47-A15,3 Days D2,Unknown,1,Ngb,Test,21.2724561904855,0.92,Pass,0.0132358407753192
S47-A16,3 Days D2,Unknown,1,Egln3,Test,19.0340753340646,0.89,Pass,0.0149010143493106
S47-A17,3 Days D2,Unknown,1,Bnip3I,Test,16.2752909750164,0.97,Pass,0.0214933930805613
S47-A18,3 Days D2,Unknown,1,Hif1a,Test,16.9325812289973,0.99,Pass,0.0274163579922502
S47-A19,3 Days D2,Unknown,1,Tfrc,Test,999,0,Fail,0.1
S47-A20,3 Days D2,Unknown,1,SDHb,Test,14.8601204992831,0.97,Pass,0.0188587803835945
S47-A21,3 Days D2,Unknown,1,Mt3,Test,12.6544318307689,0.79,Pass,0.0228345411869442
S47-A22,3 Days D2,Unknown,1,Cat,Test,999,0,Fail,0.00201192985235196
S47-A23,3 Days D2,Unknown,1,Egln2,Test,18.9292759370385,0.93,Pass,0.00689486129308747
S47-A24,3 Days D2,Unknown,1,Egln1,Test,17.1319058131614,0.85,Pass,0.0097987151773852
S47-A25,3 Days D2,Unknown,1,Nfe212,Test,24.4841509654062,0.96,Pass,0.0128811432565052
S47-A26,3 Days D2,Unknown,1,Nos2,Test,24.6426504184355,0.94,Pass,0.0150035719669409
S47-A27,3 Days D2,Unknown,1,Hif3a,Test,23.2080546239741,0.95,Pass,0.0155135707898053
S47-A28,3 Days D2,Unknown,1,Bnip3,Test,15.8176585579348,0.98,Pass,0.0239177378873408
S47-A29,3 Days D2,Unknown,1,Cp,Test,999,0,Fail,0.1
S47-A30,3 Days D2,Unknown,1,Dppa5a,Test,22.9143153063569,0.9,Pass,0.0109474022309234
S47-A31,3 Days D2,Unknown,1,Sod2,Test,16.0282836334825,0.95,Pass,0.0193117342570188
S47-A32,3 Days D2,Unknown,1,Mt1,Test,17.5689090806623,0.96,Pass,0.0150165747366286
S47-A33,3 Days D2,Unknown,1,PDK1,Test,22.6890327613538,0.98,Pass,0.0831058699701507
S47-A34,3 Days D2,Unknown,1,Car2,Test,15.1518163435731,0.85,Pass,0.0121965143027594
S47-A35,3 Days D2,Unknown,1,Trp53,Test,20.7606799982858,0.96,Pass,0.0194839829779027
S47-A36,3 Days D2,Unknown,1,PDHx,Test,17.8858593225081,0.95,Pass,0.0126570262457584
S47-A37,3 Days D2,Unknown,1,Hmox1,Test,22.294611888294,0.91,Pass,0.0087765704303593
S47-A38,3 Days D2,Unknown,1,Bach1,Test,28.501274920184,0.81,Pass,0.00898588417366158
S47-A39,3 Days D2,Unknown,1,Fth1,Test,9.81702036351176,0.98,Pass,0.0146163250752354
S47-A40,3 Days D2,Unknown,1,Fxn,Test,18.7872645750266,0.97,Pass,0.0208283161042978
S47-A41,3 Days D2,Unknown,1,Aco2,Test,16.6327432520173,0.98,Pass,0.0206074612287017
S47-A42,3 Days D2,Unknown,1,H2afz (house keeping),Test,18.3752284134904,0.93,Pass,0.00632670523166442
S47-A43,3 Days D2,Unknown,1,Slc11a2,Test,21.0358318858839,0.95,Pass,0.00590284917332172
S47-A44,3 Days D2,Unknown,1,Th,Test,20.9987478393684,0.94,Pass,0.00763526729220294
S47-A45,3 Days D2,Unknown,1,Trfr2,Test,24.5442921955995,0.98,Pass,0.0155279526230004
S47-A46,3 Days D2,Unknown,1,Mt2,Test,12.6620343740999,0.98,Pass,0.0198420617612677
S47-A47,3 Days D2,Unknown,1,LCT,Test,999,0,Fail,0.0162807939869354
S47-A48,3 Days D2,Unknown,1,RPL22 (house keeping),Test,14.2315365625114,0.95,Pass,0.00902334899870637
