Well, Type, Sample, Gene, Ct, Quantity, Exclusion
0001, UNKN, 6hrs A3, Aco2, 17.96, , 
0002, UNKN, 6hrs A3, Aco2, 18.26, , 
0003, UNKN, 6hrs A3, Aco2, 18.29, , 
0004, UNKN, 24hrs A4, Aco2, 16.57, , 
0005, UNKN, 24hrs A4, Aco2, 16.80, , 
0006, UNKN, 24hrs A4, Aco2, 16.59, , 
0007, UNKN, 8 Days D4, Aco2, 17.08, , 
0008, UNKN, 8 Days D4, Aco2, 17.04, , 
0009, UNKN, 8 Days D4, Aco2, 17.13, , 
0010, UNKN, 8 Days B1, Aco2, 16.70, , 
0011, UNKN, 8 Days B1, Aco2, 16.66, , 
0012, UNKN, 8 Days B1, Aco2, 16.83, , 
0013, UNKN, 3 Days A1, Aco2, 16.80, , 
0014, UNKN, 3 Days A1, Aco2, 16.82, , 
0015, UNKN, 3 Days A1, Aco2, 16.49, , 
0016, UNKN, 24hrs B2, Aco2, 15.58, , 
0017, UNKN, 24hrs B2, Aco2, 15.72, , 
0018, UNKN, 24hrs B2, Aco2, 15.63, , 
0019, UNKN, 6hrs D2, Aco2, 14.88, , 
0020, UNKN, 6hrs D2, Aco2, 14.92, , 
0021, UNKN, 6hrs D2, Aco2, 14.93, , 
0022, UNKN, Water, Aco2, , , 1
0023, UNKN, Water, Aco2, , , 1
0024, UNKN, Water, Aco2, , , 1
0025, UNKN, 3 Days C3, Aco2, 16.84, , 
0026, UNKN, 3 Days C3, Aco2, 16.63, , 
0027, UNKN, 3 Days C3, Aco2, 16.86, , 
0028, UNKN, 8 Days C2, Aco2, 15.56, , 
0029, UNKN, 8 Days C2, Aco2, 15.58, , 
0030, UNKN, 8 Days C2, Aco2, 15.43, , 
0031, UNKN, 6hrs B4, Aco2, 16.81, , 
0032, UNKN, 6hrs B4, Aco2, 16.69, , 
0033, UNKN, 6hrs B4, Aco2, 16.75, , 
0034, UNKN, 6hrs C2, Aco2, 15.70, , 
0035, UNKN, 6hrs C2, Aco2, 15.75, , 
0036, UNKN, 6hrs C2, Aco2, 15.52, , 
0037, UNKN, 24hrs D1, Aco2, 17.77, , 
0038, UNKN, 24hrs D1, Aco2, 17.99, , 
0039, UNKN, 24hrs D1, Aco2, 17.92, , 
0040, UNKN, 24hrs C1, Aco2, 16.24, , 
0041, UNKN, 24hrs C1, Aco2, 16.25, , 
0042, UNKN, 24hrs C1, Aco2, 16.30, , 
0043, UNKN, 3 Days B4, Aco2, 15.49, , 
0044, UNKN, 3 Days B4, Aco2, 15.74, , 
0045, UNKN, 3 Days B4, Aco2, 15.71, , 
0046, UNKN, 3 Days D2, Aco2, 16.72, , 
0047, UNKN, 3 Days D2, Aco2, 16.63, , 
0048, UNKN, 3 Days D2, Aco2, 17.24, , 
0049, UNKN, 6hrs A3, Bach1, 29.19, , 
0050, UNKN, 6hrs A3, Bach1, 29.71, , 
0051, UNKN, 6hrs A3, Bach1, 28.83, , 
0052, UNKN, 24hrs A4, Bach1, 27.83, , 
0053, UNKN, 24hrs A4, Bach1, 27.97, , 
0054, UNKN, 24hrs A4, Bach1, 28.57, , 
0055, UNKN, 8 Days D4, Bach1, 28.72, , 
0056, UNKN, 8 Days D4, Bach1, 28.33, , 
0057, UNKN, 8 Days D4, Bach1, 28.41, , 
0058, UNKN, 8 Days B1, Bach1, 27.54, , 
0059, UNKN, 8 Days B1, Bach1, 27.91, , 
0060, UNKN, 8 Days B1, Bach1, 27.80, , 
0061, UNKN, 3 Days A1, Bach1, 28.42, , 
